Command,Meaning,Default
CYCLE_RUBBER_MINDISTANCE_UNPREPARED,Additional distance for unprepared grinds; it gets applied when the cycle's last turn was just a fraction of a second ago and faded out preparation times larger than CYCLE_RUBBER_MINDISTANCE_PREPARATION.,0.005
CYCLE_RUBBER_MINDISTANCE_UNPREPARED_OVERRIDE,Block out older clients when CYCLE_RUBBER_MINDISTANCE_UNPREPARED differs from its default?,3
CYCLE_RUBBER_SPEED,"Logarithmic speed of wall approximation when rubber is in effect (every second, you get closer to the wall by a factor of ~0.4^{this value})",40
CYCLE_RUBBER_SPEED_OVERRIDE,Block out older clients when CYCLE_RUBBER_SPEED differs from its default?,3
CYCLE_RUBBER_TIME,Timescale rubber is restored on.,10
CYCLE_RUBBER_TIMEBASED,Rubber usage is based on distance travelled if this is 0 (default) and the time passed if this is 1. Intermediate values and values out of these bounds are supported as well.,0
CYCLE_RUBBER_TIMEBASED_OVERRIDE,Block out older clients when CYCLE_RUBBER_TIMEBASED differs from its default?,3
CYCLE_RUBBER_TIME_OVERRIDE,Block out older clients when CYCLE_RUBBER_TIME differs from its default?,3
CYCLE_RUBBER_WALL_SHRINK,"With finite length trails, the used rubber is multiplied with this value and the result is subtracted from the wall length.",0
CYCLE_RUBBER_WALL_SHRINK_OVERRIDE,Block out older clients when CYCLE_RUBBER_WALL_SHRINK differs from its default?,3
CYCLE_SMOOTH_MIN_SPEED,Minimum speed of smooth correction relative to cycle speed.,0.2
CYCLE_SMOOTH_THRESHOLD,"Only syncs that differ from your position by less than this amount (measured in speed) will be handled smoothly, bigger differences will be applied instantly.",0.2
CYCLE_SMOOTH_TIME,"Timescale for smoothing options. Increasing this will make interpolation smoother, but less accurate. Decreasing it will make network synchronization jumpy.",0.3
CYCLE_SOUND_SPEED,Sound speed divisor,30
CYCLE_SPEED,Basic speed of your cycle if you drive straight and not close to walls,30
CYCLE_SPEED_DECAY_ABOVE,Rate of cycle speed approaching the value of CYCLE_SPEED from above,0.1
CYCLE_SPEED_DECAY_ABOVE_OVERRIDE,Block out older clients when CYCLE_SPEED_DECAY_ABOVE differs from its default?,3
CYCLE_SPEED_DECAY_BELOW,Rate of cycle speed approaching the value of CYCLE_SPEED from below,5
CYCLE_SPEED_DECAY_BELOW_OVERRIDE,Block out older clients when CYCLE_SPEED_DECAY_BELOW differs from its default?,3
CYCLE_SPEED_MAX,"Maximal speed of your cycle, measured relative to CYCLE_SPEED. A value of 0 means no top speed.",0
CYCLE_SPEED_MAX_OVERRIDE,Block out older clients if CYCLE_SPEED_MAX differs from its default?,3
CYCLE_SPEED_MIN,"Minimal speed of your cycle, measured relative to CYCLE_SPEED",0.25
CYCLE_SPEED_MIN_OVERRIDE,Block out older clients when CYCLE_SPEED_MIN differs from its default?,3
CYCLE_START_SPEED,Initial cycle speed,20
CYCLE_SYNC_FF,"Speed of simulation of the extrapolating sync; decrease for lower CPU load, but higher effective ping",10
CYCLE_SYNC_FF_STEPS,Number of extrapolation simulation timesteps each real timestep; increase for better accuracy,1
CYCLE_SYNC_INTERVAL_ENEMY,Time in seconds between server-client updates of enemy cycles,1
CYCLE_SYNC_INTERVAL_SELF,Time in seconds between server-client updates of enemy cycles owned by the client itself,0.1
CYCLE_TIME_TOLERANCE,Maximum time difference of execution of turns on server and client (for clients that send timing information),0.1
CYCLE_TIME_TOLERANCE_OVERRIDE,Block out older clients when CYCLE_TIME_TOLERANCE differs from its default?,3
CYCLE_TURN_LEFT_TOOLTIP,cycle_turn_left_tooltip_help,0 0 0 0 0
CYCLE_TURN_MEMORY,Number of pending turns a cycle will memorize exactly,3
CYCLE_TURN_RIGHT_TOOLTIP,cycle_turn_right_tooltip_help,0 0 0 0 0
CYCLE_TURN_SPEED_FACTOR,Factor the speed of a lightcycle is multiplied with when turning,0.95
CYCLE_TURN_SPEED_FACTOR_OVERRIDE,Block out older clients when CYCLE_TURN_SPEED_FACTOR differs from its default?,3
CYCLE_WALL_NEAR,Maximum accelerating wall distance,6
CYCLE_WALL_TIME,Time in seconds a cycle does not make a wall after a respawn.,0
CYCLE_WALL_TIME_OVERRIDE,UNDOCUMENTED,3
CYCLE_WIDTH,The width of the cycle collision object. It can only squeeze through tunnels wider than that without taking harm.,0
CYCLE_WIDTH_OVERRIDE,Block out older clients if CYCLE_WIDTH differs from its default?,3
CYCLE_WIDTH_RUBBER_MAX,"If the cycle_width conditions are massively violated, use up this much rubber.If set to 1, the rubber usage rate is the same as if you were sitting in front of a wall.",1
CYCLE_WIDTH_RUBBER_MAX_OVERRIDE,Block out older clients if CYCLE_WIDTH_RUBBER_MAX differs from its default?,3
CYCLE_WIDTH_RUBBER_MIN,"If the cycle_width conditions are barely violated, use up this much rubber.If set to 1, the rubber usage rate is the same as if you were sitting in front of a wall.",1
CYCLE_WIDTH_RUBBER_MIN_OVERRIDE,Block out older clients if CYCLE_WIDTH_RUBBER_MIN differs from its default?,3
CYCLE_WIDTH_SIDE,Minimum distance of a cycle to a wall on either side before it takes harm.,0
CYCLE_WIDTH_SIDE_OVERRIDE,Block out older clients if CYCLE_WIDTH_SIDE differs from its default?,3
DEATH_SHOT,death_shot_help,1
DEBUG_GNUPLOT,UNDOCUMENTED,0
DEDICATED_FPS,Maximum simulation steps per second the dedicated server will perform,40
DEDICATED_FPS_IDLE_FACTOR,Number of times per frame the server should check whether simulation can be done if no network input is coming,2
DEDICATED_IDLE,"After running this time (in hours), the dedicated server takes the next chance to quit.",0
DEFAULT_KICK_REASON,The reason given to a player kicked by KICK if none is specified.,
DEFAULT_KICK_TO_PORT,Default server port a player is redirected to by KICK_TO and MOVE_TO.,4534
DEFAULT_KICK_TO_REASON,The reason given to a player kicked by KICK_TO or MOVE_TO if none is specified.,
DEFAULT_KICK_TO_SERVER,Default server IP/name a player is redirected to by KICK_TO and MOVE_TO.,#
DEFAULT_SHOUT_PLAYER,"1 if the default chat action for players should be shouting, 0 if it should be team chat. 2 if the default action should be shouting and the access level requirement should be overridden.",1
DEFAULT_SHOUT_SPECTATOR,"1 if the default chat action for spectators should be shouting, 0 if it should be spectator chat. 2 if the default action should be shouting and the access level requirement should be overridden.",1
DELAY_COMMAND,delay_command_help,
DISALLOW_RENAME_PLAYER,Prevents the given player from renameing.,
DISALLOW_TEAM_CHANGE_PLAYER,Reverse of ALLOW_TEAM_CHANGE_PLAYER,
DITHER,Use dithering,1
DOUBLEBIND_TIME,Time in seconds during which no two different keyboard events can trigger the same action,-10
DOUBLEBIND_TIME_OVERRIDE,Block out older clients when DOUBLEBIND_TIME differs from its default?,3
DRAWLINE_TIMEOUT,UNDOCUMENTED,10000
ENABLE_CHAT,"If set to 0, all chat will be surpressed (if reset on the server, messages from logged in players and private/team messages are still shown)",1
ENABLE_FRIENDS,Turn on/off mates filtering.,0
END_CHALLENGE,end_challenge_help,
ENEMY_CHATBOT_PENALTY,Penalty in seconds if the victim is in chatbot state and the enemy influence is just the chatbot evading a wall,30
ENEMY_CURRENTTIME_INFLUENCE,"If set to 1, not the build time of the encountered wall, but the current time enters the comparison of enemy influences. Arbitrary blending values are allowed.",0
ENEMY_DEAD_PENALTY,Penalty on the effective time in seconds if the enemy influence detection comes from a dead player,0
ENEMY_SUICIDE_TIMEOUT,"If no enemy influence can be found for the last this many seconds, a player's death counts as a suicide.",10000
ENEMY_TEAMMATE_PENALTY,Penalty on the effective time in seconds if the enemy influence detection is from a teammate,2500
EXIT,Shuts the dedicated server down and quits.,
EXPLOSION,Enable explosions?,1
EXPLOSION_RADIUS,Blast radius of the cycle explosions,4
EXTRAPOLATOR_SYNC,UNDOCUMENTED,1
EXTRA_ROUND_TIME,Length of an extra pause at the beginning of the round,0
FADEOUT_NAME_DELAY,Time the player names are shown. Set to 0 if you don't want to show them at all or -1 if you want to show them always.,
FAILED_ATTEMPTS,Number of failed attempts to initialize graphics mode,0
FASTEST_LOCX,Horizontal position of the fastest player display,0
FASTEST_LOCY,Vertical position of the fastest player display,-0.95
FASTEST_SIZE,Size of the fastest player display,0.12
FAST_FORWARD_MAXSTEP,Maximum recording time between rendered frames in fast forward mode,1
FAST_FORWARD_MAXSTEP_REAL,Maximum real time between rendered frames in fast forward mode,0.05
FAST_FORWARD_MAXSTEP_REL,Maximum fraction of the time left until the end of FF mode between rendered frames,0.1
FILTER_COLOR_NAMES,Filter color codes from player names.,0
FILTER_COLOR_SERVER_NAMES,Filter color codes from server names in the server browser.,0
FILTER_COLOR_STRINGS,Filter color codes from strings coming in over the network.,0
FILTER_COLOR_TEAM,Filter color codes from /team messages.,0
FILTER_DARK_COLOR_NAMES,Filter dark color codes from player names.,0
FILTER_DARK_COLOR_SERVER_NAMES,Filter dark color codes from server names in the server browser.,1
FILTER_DARK_COLOR_STRINGS,Filter dark color codes from strings coming in over the network.,0
FILTER_DARK_COLOR_TEAM,Filter dark color codes from /team messages.,0
FILTER_NAME_ENDS,Filter whitespace and other junk from beginnings and ends of player names.,1
FILTER_NAME_MIDDLE,Filter excess whitespace and other junk from the middle of player names.,1
FINISH_TYPE,What happens when the last human is dead?,2
FIRST_USE,Is this the first time you use Armagetron Advanced?,1
FLAG_BLINK_END,Percentage of the flag radius to end the flag blink at.,1
FLAG_BLINK_ESTIMATE_POSITION,"0 to start the flag blink at the current player position, 1 to start the flag blink where the player would be at the end of the blink at current speed and direction",0.6
FLAG_BLINK_ON_TIME,Time in seconds that flag is on in a blink (not recommended to set this below 0.1),0.3
FLAG_BLINK_START,Percentage of the flag radius to start the flag blink at.,0.2
FLAG_BLINK_TIME,"Time in seconds between flag blinking over player with the flag, -1 to disable",1.5
FLAG_BLINK_TRACK_TIME,"If set above zero, this tracks the cycle position and speed at the rate defined by this setting. it is not recommended to set this below 0.1 for lag reasons.",-1
FLAG_CHAT_BLINK_TIME,"Time in seconds that the chat triangle above a player with a flag will blink, -1 to disable",-1
FLAG_COLOR_B,(0-15) blue color for a neutral flag,-1
FLAG_COLOR_G,(0-15) green color for a neutral flag,-1
FLAG_COLOR_R,(0-15) red color for a neutral flag,-1
FLAG_CONQUEST_WINS_ROUND,Flag indicating whether capturing the flag wins the round or not,0
FLAG_DROP_HOME,Flag indicating whether dropping the flag sends it home,0
FLAG_DROP_TIME,"If positive, enables player to drop flag by chatting ""/drop"". value is the number of seconds they can't pick up the flag afterwards, 2-3 recommended.",-1
FLAG_HOLD_SCORE,Points given for holding the flag see FLAG_HOLD_SCORE_TIME,1
FLAG_HOLD_SCORE_TIME,Seconds until points are awarded for holding the flag see FLAG_HOLD_SCORE,-1
FLAG_HOLD_TIME,"Time in seconds that the player can hold the flag before it is returned home, -1 to disable",-1
FLAG_HOME_RANDOMNESS_X,Y direction the flag can vary from its starting spot when returned.,-1
FLAG_HOME_RANDOMNESS_Y,X direction the flag can vary from its starting spot when returned.,-1
FLAG_REQUIRED_HOME,Flag indicating whether flags need to be home to score,1
FLAG_TEAM,"0 - Flags are neutral, 1 Flags have team that own them",1
FLOOR_BLUE,Floor color,0.2
FLOOR_DETAIL,Floor detail settings,2
FLOOR_GREEN,Floor color,0.2
FLOOR_MIRROR,Floor mirror mode,0
FLOOR_MIRROR_INT,Intensity of the floor mirror effect,
FLOOR_RED,Floor color,0.2
FONT_BIG_THRESHOLD_HEIGHT,UNDOCUMENTED,24
FONT_BIG_THRESHOLD_WIDTH,UNDOCUMENTED,12
FONT_MIN_B,UNDOCUMENTED,0.5
FONT_MIN_G,UNDOCUMENTED,0.5
FONT_MIN_R,UNDOCUMENTED,0.5
FONT_MIN_TOTAL,UNDOCUMENTED,0.7
FONT_SMALL_THRESHOLD_HEIGHT,Minimal pixel size of small font,8
FONT_SMALL_THRESHOLD_WIDTH,Minimal pixel size of small font,5
FORTRESS_COLLAPSE_SPEED,Speed a fortress zone collapses with,0.5
FORTRESS_CONQUERED_KILL_MIN,UNDOCUMENTED,0
FORTRESS_CONQUERED_KILL_RATIO,UNDOCUMENTED,0
FORTRESS_CONQUERED_SCORE,UNDOCUMENTED,0
FORTRESS_CONQUERED_WIN,UNDOCUMENTED,0
FORTRESS_CONQUEST_DECAY_RATE,"Rate a fortress zone ""recovers"" from being conquered",0.1
FORTRESS_CONQUEST_RATE,Rate a fortress zone gets conquered with for each enemy in it,0.5
FORTRESS_CONQUEST_TIMEOUT,time without enemy contact that makes a fortress zone collapse harmlessly,0
FORTRESS_DEFEND_RATE,"Rate a fortress zone ""recovers"" for each defending player",0.25
FORTRESS_HELD_SCORE,Score you get for holding your fortress.,0
FORTRESS_MAX_PER_TEAM,UNDOCUMENTED,0
FORTRESS_SURVIVE_WIN,UNDOCUMENTED,1
FRIEND_1,A friend,
FRIEND_10,A friend,
FRIEND_2,A friend,
FRIEND_3,A friend,
FRIEND_4,A friend,
FRIEND_5,A friend,
FRIEND_6,A friend,
FRIEND_7,A friend,
FRIEND_8,A friend,
FRIEND_9,A friend,
FULLSCREEN,Fullscreen or windowed mode?,1
FULLSCREEN_MESSAGE,"Prints a big message all over the screen, interrupting gameplay for a configurable timeout. Use with care.",
GAMEOBJECT_MOVE_TIMEOUT,UNDOCUMENTED,100
GAME_TIMEOUT,Base timeout for game state synchronisation; gives approximately the maximum time between rounds.,10
GAME_TYPE,"Type of game played. 0 for freestyle, 1 for last team standing and 2 for humans vs. AIs.",1
GLANCE_BACK_TOOLTIP,glance_back_tooltip_help,0 0 0 0 0
GLANCE_LEFT_TOOLTIP,glance_left_tooltip_help,0 0 0 0 0
GLANCE_RIGHT_TOOLTIP,glance_right_tooltip_help,0 0 0 0 0
GL_EXTENSIONS,OpenGL system information,
GL_RENDERER,OpenGL system information,
GL_VENDOR,OpenGL system information,
GL_VERSION,OpenGL system information,
GOAL_ROUND_END,Flag indicating whether the round ends when a goal is shot,1
GRID_POSITION_INTERVAL,grid_position_interval_help,1
GRID_SIZE,Distance between gridlines,1
GRID_SIZE_MOVIEPACK,Distance between gridlines when moviepack is active,2
HASH_METHOD_BLACKLIST,List of hash authentication methods to disable support for.,
HELP_INTRODUCTORY_BLURB,Message that is displayed before the list of help topics if someone uses /help without arguments,
HIGH_RIM,Draw high rim walls,1
HISTORY_SIZE_CHAT,Number of lines kept in the chat history.,10
HISTORY_SIZE_CONSOLE,Number of lines kept in the console history.,10
IDLE_KICK_TIME,Time in seconds after which an inactive player is kicked,0
IDLE_REMOVE_TIME,Time in seconds after which an inactive player is removed from the game,0
INCLUDE,Includes the following file,
INFINITY_PLANE,Use infinite points (Does not work properly on most Windows systems),0
INTERCEPT_COMMANDS,List of chat commands to accept and log to stdout.,
INTERCEPT_UNKNOWN_COMMANDS,"If 1, accept and log all unknown chat commands.",0
KEEP_PLAYER_SLOT,"If set to 1, every time the server gets full, an unworthy spectator is kicked.",0
KEEP_WINDOW_ACTIVE,Keeps rendering active when the program window loses input focus.,0
KEYBOARD,Keyboard settings,-1
KICK,Kicks the specified player from the server.,
KICK_TO,"Kicks the specified player from the server and, if the client supports it, redirects him to a different server.",
KILL,Kill a specific player (as warning before a kick),
KOH_SCORE,Score given for being the only one in a zone for KOH_SCORE_TIME,1
KOH_SCORE_TIME,The interval that KOH_SCORE is added,5
LADDERLOG_DECORATE_TIMESTAMP,Decorates every line of ladderlog output with the current date and time,0
LADDERLOG_GAME_TIME_INTERVAL,ladderlog_game_time_interval_help,-1
LADDERLOG_WRITE_ADMIN_COMMAND,ladderlog_write_admin_command_help,0
LADDERLOG_WRITE_ADMIN_LOGIN,ladderlog_write_admin_login_help,0
LADDERLOG_WRITE_ADMIN_LOGOUT,ladderlog_write_admin_logout_help,0
LADDERLOG_WRITE_ALL,Set all the LADDER_LOG_WRITE_* settings to the same value,
LADDERLOG_WRITE_BALL_VANISH,Write to ladderlog: BALL_VANISH <object id> <zone_name> <cx> <cy>,0
LADDERLOG_WRITE_BASEZONE_CONQUERED,Write to ladderlog: BASEZONE_CONQUERED <team> <cx> <cy>,1
LADDERLOG_WRITE_BASEZONE_CONQUERER,Write to ladderlog: BASEZONE_CONQUERER <player> <% of zone>,1
LADDERLOG_WRITE_BASEZONE_CONQUERER_TEAM,Write to ladderlog: BASEZONE_CONQUERER_TEAM <team> <score>,1
LADDERLOG_WRITE_BASE_ENEMY_RESPAWN,Write to ladderlog: BASE_ENEMY_RESPAWN <spawner> <spawned>,1
LADDERLOG_WRITE_BASE_RESPAWN,Write to ladderlog: BASE_RESPAWN <spawner> <spawned>,1
LADDERLOG_WRITE_CHAT,Write to ladderlog: CHAT <chatter> [/me] <chat string>,0
LADDERLOG_WRITE_CYCLE_CREATED,ladderlog_write_cycle_created_help,0
LADDERLOG_WRITE_DEATH_BASEZONE_CONQUERED,Write to ladderlog: DEATH_BASEZONE_CONQUERED <player> [NO_ENEMIES],1
LADDERLOG_WRITE_DEATH_DEATHZONE,Write to ladderlog: DEATH_DEATHZONE <player>,1
LADDERLOG_WRITE_DEATH_FRAG,Write to ladderlog: DEATH_FRAG <prey> <predator>,1
LADDERLOG_WRITE_DEATH_RUBBERZONE,Write to ladderlog: DEATH_RUBBERZONE <player>,1
LADDERLOG_WRITE_DEATH_SHOT_FRAG,Write to ladderlog: DEATH_SHOT_FRAG <prey> <predator>,1
LADDERLOG_WRITE_DEATH_SHOT_SUICIDE,Write to ladderlog: DEATH_SHOT_SUICIDE <player>,1
LADDERLOG_WRITE_DEATH_SHOT_TEAMKILL,Write to ladderlog: DEATH_SHOT_TEAMKILL <prey> <predator>,1
LADDERLOG_WRITE_DEATH_SUICIDE,Write to ladderlog: DEATH_SUICIDE <player>,1
LADDERLOG_WRITE_DEATH_TEAMKILL,Write to ladderlog: DEATH_TEAMKILL <prey> <predator>,1
LADDERLOG_WRITE_END_CHALLENGE,ladderlog_write_end_challenge_help,1
LADDERLOG_WRITE_FLAG_CONQUEST_ROUND_WIN,Write to ladderlog: FLAG_CONQUEST_ROUND_WIN <player> <flag team>,1
LADDERLOG_WRITE_FLAG_DROP,Write to ladderlog: FLAG_DROP <player> <flag team>,1
LADDERLOG_WRITE_FLAG_HELD,Write to ladderlog: FLAG_HELD <player>,1
LADDERLOG_WRITE_FLAG_RETURN,Write to ladderlog: FLAG_RETURN <player>,1
LADDERLOG_WRITE_FLAG_SCORE,Write to ladderlog: FLAG_SCORE <player> <flag team>,1
LADDERLOG_WRITE_FLAG_TAKE,Write to ladderlog: FLAG_TAKE <player> <flag team>,1
LADDERLOG_WRITE_FLAG_TIMEOUT,Write to ladderlog: FLAG_TIMEOUT <player> <flag team>,1
LADDERLOG_WRITE_GAME_END,Write to ladderlog: GAME_END <date and time>,1
LADDERLOG_WRITE_GAME_TIME,Write to ladderlog: GAME_TIME (see also: GAME_TIME_INTERVAL),1
LADDERLOG_WRITE_INVALID_COMMAND,ladderlog_write_invalid_command_help,0
LADDERLOG_WRITE_MATCH_SCORE,ladderlog_write_match_score_help,1
LADDERLOG_WRITE_MATCH_SCORE_TEAM,ladderlog_write_match_score_team_help,1
LADDERLOG_WRITE_MATCH_WINNER,Write to ladderlog: MATCH_WINNER <team> <players>,1
LADDERLOG_WRITE_NEW_MATCH,Write to ladderlog: NEW_MATCH <date and time>,1
LADDERLOG_WRITE_NEW_ROUND,Write to ladderlog: NEW_ROUND <date and time>,1
LADDERLOG_WRITE_NEW_SET,ladderlog_write_new_set_help,1
LADDERLOG_WRITE_NEXT_ROUND,ladderlog_write_next_round_help,0
LADDERLOG_WRITE_NUM_HUMANS,Write to ladderlog: NUM_HUMANS <number of humans>,0
LADDERLOG_WRITE_ONLINE_PLAYER,Write to ladderlog: ONLINE_PLAYER <name> [<ping> [<team>]],0
LADDERLOG_WRITE_PLAYER_ENTERED,Write to ladderlog: PLAYER_ENTERED <name> <IP> <screen name>,1
LADDERLOG_WRITE_PLAYER_GRIDPOS,ladderlog_write_player_gridpos_help,0
LADDERLOG_WRITE_PLAYER_KILLED,ladderlog_write_player_killed_help,1
LADDERLOG_WRITE_PLAYER_LEFT,Write to ladderlog: PLAYER_LEFT <name> <IP>,1
LADDERLOG_WRITE_PLAYER_POSITION,ladderlog_write_player_position_help,0
LADDERLOG_WRITE_PLAYER_RENAMED,Write to ladderlog: PLAYER_RENAMED <old name> <new name> <ip> <screen name>,1
LADDERLOG_WRITE_POSITIONS,Write to ladderlog: POSITIONS <team> <player1 player2 ...>,0
LADDERLOG_WRITE_ROUND_COMMENCING,ladderlog_write_round_commencing_help,0
LADDERLOG_WRITE_ROUND_SCORE,Write to ladderlog: ROUND_SCORE <score difference> <player> [<team>],1
LADDERLOG_WRITE_ROUND_SCORE_TEAM,Write to ladderlog: ROUND_SCORE_TEAM <score difference> <team>,1
LADDERLOG_WRITE_ROUND_WINNER,Write to ladderlog: ROUND_WINNER <team> <players>,1
LADDERLOG_WRITE_SACRIFICE,Write to ladderlog: SACRIFICE <player who used the hole> <player who created the hole> <player owning the wall the hole was made into>,1
LADDERLOG_WRITE_SET_WINNER,ladderlog_write_set_winner_help,1
LADDERLOG_WRITE_SPAWN_POSITION_TEAM,ladderlog_write_spawn_position_team_help,1
LADDERLOG_WRITE_START_CHALLENGE,ladderlog_write_start_challenge_help,1
LADDERLOG_WRITE_SVG_CREATED,ladderlog_write_svg_created_help,1
LADDERLOG_WRITE_TARGETZONE_CONQUERED,Write to ladderlog: TARGETZONE_CONQUERED <object_id> <zone_name> <cx> <cy> [<player> [<team>]],0
LADDERLOG_WRITE_TARGETZONE_PLAYER_ENTER,Write to ladderlog: TARGETZONE_PLAYER_ENTER <object_id> <zone_name> <cx> <cy> <player> <player x> <player y> <player xdir> <player ydir>,0
LADDERLOG_WRITE_TARGETZONE_PLAYER_LEFT,Write to ladderlog: TARGETZONE_PLAYER_LEFT <object_id> <zone_name> <cx> <cy> <player> <player x> <player y> <player xdir> <player ydir>,0
LADDERLOG_WRITE_TARGETZONE_TIMEOUT,Write to ladderlog: TARGETZONE_TIMEOUT <object_id> <zone_name> <cx> <cy>,0
LADDERLOG_WRITE_VOTER,ladderlog_write_voter_help,0
LADDERLOG_WRITE_VOTE_CREATED,ladderlog_write_vote_created_help,0
LADDERLOG_WRITE_WAIT_FOR_EXTERNAL_SCRIPT,Write to ladderlog: WAIT_FOR_EXTERNAL_SCRIPT (see also: WAIT_FOR_EXTERNAL_SCRIPT and WAIT_FOR_EXTERNAL_SCRIPT_TIMEOUT),1
LADDERLOG_WRITE_WINZONE_PLAYER_ENTER,Write to ladderlog: WINZONE_PLAYER_ENTER <object id> <zone_name> <cx> <cy> <player> <player x> <player y> <player xdir> <player ydir>,0
LADDERLOG_WRITE_ZONE_COLLAPSED,Write to ladderlog: ZONE_COLLAPSED <zone_id> <object_id> <cx> <cy>,0
LADDERLOG_WRITE_ZONE_SPAWNED,Write to ladderlog: ZONE_SPAWNED <object id> <zone_name> <cx> <cy>,1
LADDER_GAIN_EXTRA,Ping dependent ladder extra score for the winner,1
LADDER_HIGHSCORE_OUTPUT,ladder_highscore_output_help,1
LADDER_LOSE_MIN_ON_LOAD,Minimum of you ladder score lost on each load,0.2
LADDER_LOSE_PERCENT_ON_LOAD,Percentage of your ladder score lost on each load,0.2
LADDER_MIN_BET,Minimum score you put in the ladder pot,1
LADDER_PERCENT_BET,Percentage of your score you put in the ladder pot,10
LADDER_TAX,Percentage of the ladder pot the IRS takes,1
LAG_CREDIT,Maximal seconds of total lag credit.,0.5
LAG_CREDIT_SINGLE,Maximal seconds of lag credit for a single lag credit event.,0.1
LAG_CREDIT_TIME,Timescale lag credit is restored on.,600
LAG_CREDIT_VARIANCE,Maximal multiple of the lag variance for a single lag credit event.,3
LAG_FAST_TIME,Timescale the fast lag measurement decays on.,2
LAG_FAST_WEIGHT,Extra weight lag reports from the server influence the fast lag compensation with.,1
LAG_FREQUENCY_THRESHOLD,Minimal frequency of lag events (measured against the total number of input events) that needs to be exceeded before the server informs the client. Should be between 0 and 1.,0.2
LAG_MAX_SPEEDUP_TIMER,Maximal speed increase of timer while lag is compensated for.,0.2
LAG_OFFSET_CLIENT,"Extra amount of lag compensation, determined by the client.",0
LAG_OFFSET_LEGACY,"Extra amount of lag compensation for clients that don't support automatic compensation, determined by the server.",0
LAG_OFFSET_SERVER,"Extra amount of lag compensation, determined by the server.",0
LAG_O_METER,Draw Lag-O-Meter in network play,1
LAG_O_METER_BLEND,"Amount the player color should be blended with white to get the color of the Lag-O-Meter. 1 means white, 0 means the color of the player.",0.5
LAG_O_METER_SCALE,"Scale of the Lag-O-Meter. 1.0 is the ""correct"" value, older clients were hardcoded to .5 due to a bug.",1
LAG_O_METER_THRESHOLD,The Lag-O-Meter will only be drawn if the product of cycle speed and lag is bigger than this value.,0.5
LAG_O_METER_USE_OLD,Should we use the old buggy Lag-O-Meter? This functionality will go away soon.,0
LAG_SLOW_TIME,Timescale the slow lag measurement decays on.,30
LAG_SLOW_WEIGHT,Extra weight lag reports from the server influence the slow lag compensation with.,0.2
LAG_SWEET_SPOT,"Sweet spot, the fill ratio of lag credit the server tries to keep the client at.",0.2
LAG_THRESHOLD,Amount of lag not compensated for on each lag event.,0
LANGUAGE_FIRST,The language Armagetron Advanced will use,American English
LANGUAGE_SECOND,Fallback language if the first language is not available,American English
LAST_CHAT_BREAK_TIME,Last round time a player in chat mode is able to pause the timer,-1
LAST_CHECK_ERRORS,"Listen to errors claiming a video mode does not exist, last successful init",1
LAST_COLORDEPTH,"Color depth, last successful init",1
LAST_FULLSCREEN,"Fullscreen or windowed mode, last successful init",1
LAST_ZDEPTH,"z buffer depth, last successful init",1
LEGACY_LADDERLOG_COMMAND,legacy_ladderlog_command_help,1
LEGACY_LOG_NAMES,"If 1, the log names of unauthenticated players are kept like they were before authentication was implemented. If 0, log names are escaped so that authenticated player names look best.",1
LIMIT_ROUNDS,End the match after this number of rounds,10
LIMIT_SCORE,End the match when a player reaches this score,100
LIMIT_SETS,limit_sets_help,1
LIMIT_TIME,End the match after this number of minutes,30
LOWER_SKY,Draw lower sky plane,0
MAP_FILE,File that contains the map used for playing,Anonymous/polygon/regular/square-1.0.1.aamap.xml
MAP_FILE_OVERRIDE,Block out older clients when MAP_FILE differs from its default?,3
MAP_URI,DEPRECIATED - use RESOURCE_REPOSITORY_SERVER and MAP_FILE instead,0
MASTER_IDLE,UNDOCUMENTED,
MASTER_PORT,UNDOCUMENTED,
MASTER_QUERY_INTERVAL,UNDOCUMENTED,
MASTER_SAVE_INTERVAL,UNDOCUMENTED,
MAX_CLIENTS,Maximum number of network clients to accept,16
MAX_CLIENTS_SAME_IP_HARD,Maximum number of network clients to accept from the same IP; more logins will be ignored,8
MAX_CLIENTS_SAME_IP_SOFT,Maximum number of network clients to accept from the same IP; more logins will get kicked when the server is full,4
MAX_IN_RATE,Maximum network input rate,8
MAX_OUT_RATE,Maximum network output rate,8
MAX_PLAYERS_SAME_IP,maximum number of players from the same IP (note that each client can legally host up to four players),4
MAX_SIMULATE_AHEAD,UNDOCUMENTED,0.1
MAX_VOTES,The maximum number of total votes that can be active at any given moment.,5
MAX_VOTES_PER_VOTER,The maximum number of votes suggested by each voter that can be active at any given moment.,2
MD5_PREFIX,Extra hash prefix for local accounts used to scramble the password,
MD5_SUFFIX,Extra hash suffix for local accounts used to scramble the password,
MEGA_SHOT_DIR,mega_shot_dir_help,3
MEGA_SHOT_EXPLOSION,mega_shot_explosion_help,1
MEGA_SHOT_MULT,mega_shot_mult_help,0.3
MEGA_SHOT_THRESH,mega_shot_thresh_help,2
MESSAGE_OF_DAY,"Message sent to clients on connection, if supported by the client, it will be displayed fullscreen",
MESSAGE_OF_DAY_TIMEOUT,Time message_of_day is displayed for in fullscreen mode,60
MIN_FLAGS_HOME,Number of flags that must be home in order to capture a flag,0
MIN_PLAYERS,Minimum number of players,0
MIN_PLAY_TIME_ONLINE,Online play time in minutes required to play here,0
MIN_PLAY_TIME_TEAM,Team play time in minutes required to play here,0
