Command,Meaning,Default
CYCLE_RUBBER_MALUS_TURN_OVERRIDE,Block out older clients when CYCLE_RUBBER_MALUS_TURN differs from its default?,3
CYCLE_RUBBER_MINADJUST,"When adjusting to or 180ing into a wall, allow going closer by at least this amount (relative to the last distance)",0.05
CYCLE_RUBBER_MINADJUST_OVERRIDE,Block out older clients when CYCLE_RUBBER_MINADJUST differs from its default?,3
CYCLE_RUBBER_MINDISTANCE,The minimal distance rubber code keeps you from the wall in front of you,0.001
CYCLE_RUBBER_MINDISTANCE_GAP,"If > 0, CYCLE_RUBBER_MINDISTANCE effectively is never taken to be bigger than this value times the size of any detected gaps the cylce can squeeze through. For ""Open"" gameplay.",0
CYCLE_RUBBER_MINDISTANCE_GAP_BACKDOOR,"If > 0, CYCLE_RUBBER_MINDISTANCE effectively is never taken to be bigger than this value times the size of any detected backdoor gaps the cylce can squeeze through. For ""Open"" gameplay. If = 0, CYCLE_RUBBER_MINDISTANCE_GAP applies to backdoors, too.",0
CYCLE_RUBBER_MINDISTANCE_GAP_BACKDOOR_OVERRIDE,Block out older clients if CYCLE_RUBBER_MINDISTANCE_GAP_BACKDOOR differs from its default?,3
CYCLE_RUBBER_MINDISTANCE_GAP_OVERRIDE,Block out older clients if CYCLE_RUBBER_MINDISTANCE_GAP differs from its default?,3
CYCLE_RUBBER_MINDISTANCE_GAP_SIDE,Gap detection only sees gaps that the cycle may reach in no less than this many seconds.,0.5
CYCLE_RUBBER_MINDISTANCE_LEGACY,"Extra factor for minimal distance to walls enforced by the rubber code, active when peers with the rip bug are connected",1
CYCLE_RUBBER_MINDISTANCE_OVERRIDE,Block out older clients when CYCLE_RUBBER_MINDISTANCE differs from its default?,3
CYCLE_RUBBER_MINDISTANCE_PREPARATION,Timescale in seconds a cycle's last turn time is compared with to determine the effect of CYCLE_RUBBER_MINDISTANCE_UNPREPARED.,0.2
CYCLE_RUBBER_MINDISTANCE_PREPARATION_OVERRIDE,Block out older clients when CYCLE_RUBBER_MINDISTANCE_PREPARATION differs from its default?,3
CYCLE_RUBBER_MINDISTANCE_RATIO,Additional distance to CYCLE_RUBBER_MINDISTANCE for every length unit of the wall you have in front of you,0.0001
CYCLE_RUBBER_MINDISTANCE_RATIO_OVERRIDE,Block out older clients when CYCLE_RUBBER_MINDISTANCE_RATIO differs from its default?,3
CYCLE_RUBBER_MINDISTANCE_RESERVOIR,Additional distance if you have an empty rubber meter (gets faded out gradually as you use up all your rubber),0.005
CYCLE_RUBBER_MINDISTANCE_RESERVOIR_OVERRIDE,Block out older clients when CYCLE_RUBBER_MINDISTANCE_RESERVOIR differs from its default?,3
CYCLE_RUBBER_MINDISTANCE_UNPREPARED,Additional distance for unprepared grinds; it gets applied when the cycle's last turn was just a fraction of a second ago and faded out preparation times larger than CYCLE_RUBBER_MINDISTANCE_PREPARATION.,0.005
CYCLE_RUBBER_MINDISTANCE_UNPREPARED_OVERRIDE,Block out older clients when CYCLE_RUBBER_MINDISTANCE_UNPREPARED differs from its default?,3
CYCLE_RUBBER_SPEED,"Logarithmic speed of wall approximation when rubber is in effect (every second, you get closer to the wall by a factor of ~0.4^{this value})",40
CYCLE_RUBBER_SPEED_OVERRIDE,Block out older clients when CYCLE_RUBBER_SPEED differs from its default?,3
CYCLE_RUBBER_TIME,Timescale rubber is restored on.,10
CYCLE_RUBBER_TIMEBASED,Rubber usage is based on distance travelled if this is 0 (default) and the time passed if this is 1. Intermediate values and values out of these bounds are supported as well.,0
CYCLE_RUBBER_TIMEBASED_OVERRIDE,Block out older clients when CYCLE_RUBBER_TIMEBASED differs from its default?,3
CYCLE_RUBBER_TIME_OVERRIDE,Block out older clients when CYCLE_RUBBER_TIME differs from its default?,3
CYCLE_RUBBER_WALL_SHRINK,"With finite length trails, the used rubber is multiplied with this value and the result is subtracted from the wall length.",0
CYCLE_RUBBER_WALL_SHRINK_OVERRIDE,Block out older clients when CYCLE_RUBBER_WALL_SHRINK differs from its default?,3
CYCLE_SMOOTH_MIN_SPEED,Minimum speed of smooth correction relative to cycle speed.,0.2
CYCLE_SMOOTH_THRESHOLD,"Only syncs that differ from your position by less than this amount (measured in speed) will be handled smoothly, bigger differences will be applied instantly.",0.2
CYCLE_SMOOTH_TIME,"Timescale for smoothing options. Increasing this will make interpolation smoother, but less accurate. Decreasing it will make network synchronization jumpy.",0.3
CYCLE_SOUND_SPEED,Sound speed divisor,30
CYCLE_SPEED,Basic speed of your cycle if you drive straight and not close to walls,30
CYCLE_SPEED_DECAY_ABOVE,Rate of cycle speed approaching the value of CYCLE_SPEED from above,0.1
CYCLE_SPEED_DECAY_ABOVE_OVERRIDE,Block out older clients when CYCLE_SPEED_DECAY_ABOVE differs from its default?,3
CYCLE_SPEED_DECAY_BELOW,Rate of cycle speed approaching the value of CYCLE_SPEED from below,5
CYCLE_SPEED_DECAY_BELOW_OVERRIDE,Block out older clients when CYCLE_SPEED_DECAY_BELOW differs from its default?,3
CYCLE_SPEED_MAX,"Maximal speed of your cycle, measured relative to CYCLE_SPEED. A value of 0 means no top speed.",0
CYCLE_SPEED_MAX_OVERRIDE,Block out older clients if CYCLE_SPEED_MAX differs from its default?,3
CYCLE_SPEED_MIN,"Minimal speed of your cycle, measured relative to CYCLE_SPEED",0.25
CYCLE_SPEED_MIN_OVERRIDE,Block out older clients when CYCLE_SPEED_MIN differs from its default?,3
CYCLE_START_SPEED,Initial cycle speed,20
CYCLE_SYNC_FF,"Speed of simulation of the extrapolating sync; decrease for lower CPU load, but higher effective ping",10
CYCLE_SYNC_FF_STEPS,Number of extrapolation simulation timesteps each real timestep; increase for better accuracy,1
CYCLE_SYNC_INTERVAL_ENEMY,Time in seconds between server-client updates of enemy cycles,1
CYCLE_SYNC_INTERVAL_SELF,Time in seconds between server-client updates of enemy cycles owned by the client itself,0.1
CYCLE_TIME_TOLERANCE,Maximum time difference of execution of turns on server and client (for clients that send timing information),0.1
CYCLE_TIME_TOLERANCE_OVERRIDE,Block out older clients when CYCLE_TIME_TOLERANCE differs from its default?,3
CYCLE_TURN_LEFT_TOOLTIP,cycle_turn_left_tooltip_help,10 10 5 5 5
CYCLE_TURN_MEMORY,Number of pending turns a cycle will memorize exactly,3
CYCLE_TURN_RIGHT_TOOLTIP,cycle_turn_right_tooltip_help,11 11 6 6 6
CYCLE_TURN_SPEED_FACTOR,Factor the speed of a lightcycle is multiplied with when turning,0.95
CYCLE_TURN_SPEED_FACTOR_OVERRIDE,Block out older clients when CYCLE_TURN_SPEED_FACTOR differs from its default?,3
CYCLE_WALL_NEAR,Maximum accelerating wall distance,6
CYCLE_WALL_TIME,Time in seconds a cycle does not make a wall after a respawn.,0
CYCLE_WALL_TIME_OVERRIDE,UNDOCUMENTED,3
CYCLE_WIDTH,The width of the cycle collision object. It can only squeeze through tunnels wider than that without taking harm.,0
CYCLE_WIDTH_OVERRIDE,Block out older clients if CYCLE_WIDTH differs from its default?,3
CYCLE_WIDTH_RUBBER_MAX,"If the cycle_width conditions are massively violated, use up this much rubber.If set to 1, the rubber usage rate is the same as if you were sitting in front of a wall.",1
CYCLE_WIDTH_RUBBER_MAX_OVERRIDE,Block out older clients if CYCLE_WIDTH_RUBBER_MAX differs from its default?,3
CYCLE_WIDTH_RUBBER_MIN,"If the cycle_width conditions are barely violated, use up this much rubber.If set to 1, the rubber usage rate is the same as if you were sitting in front of a wall.",1
CYCLE_WIDTH_RUBBER_MIN_OVERRIDE,Block out older clients if CYCLE_WIDTH_RUBBER_MIN differs from its default?,3
CYCLE_WIDTH_SIDE,Minimum distance of a cycle to a wall on either side before it takes harm.,0
CYCLE_WIDTH_SIDE_OVERRIDE,Block out older clients if CYCLE_WIDTH_SIDE differs from its default?,3
DEBUG_GNUPLOT,UNDOCUMENTED,0
DEDICATED_FPS,Maximum simulation steps per second the dedicated server will perform,40
DEDICATED_FPS_IDLE_FACTOR,Number of times per frame the server should check whether simulation can be done if no network input is coming,2
DEDICATED_IDLE,"After running this time (in hours), the dedicated server takes the next chance to quit.",0
DEFAULT_KICK_REASON,The reason given to a player kicked by KICK if none is specified.,
DEFAULT_KICK_TO_PORT,Default server port a player is redirected to by KICK_TO and MOVE_TO.,4534
DEFAULT_KICK_TO_REASON,The reason given to a player kicked by KICK_TO or MOVE_TO if none is specified.,
DEFAULT_KICK_TO_SERVER,Default server IP/name a player is redirected to by KICK_TO and MOVE_TO.,#
DEFAULT_SHOUT_PLAYER,"1 if the default chat action for players should be shouting, 0 if it should be team chat. 2 if the default action should be shouting and the access level requirement should be overridden.",1
DEFAULT_SHOUT_SPECTATOR,"1 if the default chat action for spectators should be shouting, 0 if it should be spectator chat. 2 if the default action should be shouting and the access level requirement should be overridden.",1
DEOP,deop_help,
DISALLOW_RENAME_PLAYER,Prevents the given player from renameing.,
DISALLOW_TEAM_CHANGE_PLAYER,Reverse of ALLOW_TEAM_CHANGE_PLAYER,
DITHER,Use dithering,1
DOUBLEBIND_TIME,Time in seconds during which no two different keyboard events can trigger the same action,-10
DOUBLEBIND_TIME_OVERRIDE,Block out older clients when DOUBLEBIND_TIME differs from its default?,3
DRAWLINE_TIMEOUT,UNDOCUMENTED,10000
ENABLE_CHAT,"If set to 0, all chat will be surpressed (if reset on the server, messages from logged in players and private/team messages are still shown)",1
ENABLE_FRIENDS,Turn on/off mates filtering.,0
ENABLE_NAME_HILIGHTING,Hilight your name in chats other players send?,1
ENEMY_CHATBOT_PENALTY,Penalty in seconds if the victim is in chatbot state and the enemy influence is just the chatbot evading a wall,30
ENEMY_CURRENTTIME_INFLUENCE,"If set to 1, not the build time of the encountered wall, but the current time enters the comparison of enemy influences. Arbitrary blending values are allowed.",0
ENEMY_DEAD_PENALTY,Penalty on the effective time in seconds if the enemy influence detection comes from a dead player,0
ENEMY_SUICIDE_TIMEOUT,"If no enemy influence can be found for the last this many seconds, a player's death counts as a suicide.",10000
ENEMY_TEAMMATE_PENALTY,Penalty on the effective time in seconds if the enemy influence detection is from a teammate,2500
EXIT,Shuts the dedicated server down and quits.,
EXPLOSION,Enable explosions?,1
EXPLOSION_HUD,explosion_hud_help,1
EXPLOSION_RADIUS,Blast radius of the cycle explosions,4
EXTRAPOLATOR_SYNC,UNDOCUMENTED,1
EXTRA_ROUND_TIME,Length of an extra pause at the beginning of the round,0
FADEOUT_NAME_DELAY,Time the player names are shown. Set to 0 if you don't want to show them at all or -1 if you want to show them always.,
FAILED_ATTEMPTS,Number of failed attempts to initialize graphics mode,0
FAST_FORWARD_MAXSTEP,Maximum recording time between rendered frames in fast forward mode,1
FAST_FORWARD_MAXSTEP_REAL,Maximum real time between rendered frames in fast forward mode,0.05
FAST_FORWARD_MAXSTEP_REL,Maximum fraction of the time left until the end of FF mode between rendered frames,0.1
FILTER_COLOR_NAMES,Filter color codes from player names.,0
FILTER_COLOR_SERVER_NAMES,Filter color codes from server names in the server browser.,0
FILTER_COLOR_STRINGS,Filter color codes from strings coming in over the network.,0
FILTER_COLOR_TEAM,Filter color codes from /team messages.,0
FILTER_DARK_COLOR_NAMES,Filter dark color codes from player names.,0
FILTER_DARK_COLOR_SERVER_NAMES,Filter dark color codes from server names in the server browser.,1
FILTER_DARK_COLOR_STRINGS,Filter dark color codes from strings coming in over the network.,0
FILTER_DARK_COLOR_TEAM,Filter dark color codes from /team messages.,0
FILTER_NAME_ENDS,Filter whitespace and other junk from beginnings and ends of player names.,1
FILTER_NAME_MIDDLE,Filter excess whitespace and other junk from the middle of player names.,1
FINISH_TYPE,What happens when the last human is dead?,2
FIRST_USE,Is this the first time you use Armagetron Advanced?,0
FLOOR_BLUE,Floor color,0.7
FLOOR_DETAIL,Floor detail settings,3
FLOOR_GREEN,Floor color,0.5
FLOOR_MIRROR,Floor mirror mode,0
FLOOR_MIRROR_INT,Intensity of the floor mirror effect,
FLOOR_RED,Floor color,0.5
FONT_MIN_B,UNDOCUMENTED,0.5
FONT_MIN_G,UNDOCUMENTED,0.5
FONT_MIN_R,UNDOCUMENTED,0.5
FONT_MIN_TOTAL,UNDOCUMENTED,0.7
FORBID_COCKPIT_DATA,Colon- separated list of cockpit data sources clients aren't allowed to use in the cockpit,
FORBID_HUD_CAMERA,forbid_hud_camera_help,0
FORBID_HUD_MAP,forbid_hud_map_help,0
FORTRESS_COLLAPSE_SPEED,Speed a fortress zone collapses with,0.5
FORTRESS_CONQUERED_KILL_MIN,UNDOCUMENTED,0
FORTRESS_CONQUERED_KILL_RATIO,UNDOCUMENTED,0
FORTRESS_CONQUERED_SCORE,UNDOCUMENTED,0
FORTRESS_CONQUERED_WIN,UNDOCUMENTED,0
FORTRESS_CONQUEST_DECAY_RATE,"Rate a fortress zone ""recovers"" from being conquered",0.1
FORTRESS_CONQUEST_RATE,Rate a fortress zone gets conquered with for each enemy in it,0.5
FORTRESS_CONQUEST_TIMEOUT,time without enemy contact that makes a fortress zone collapse harmlessly,0
FORTRESS_DEFEND_RATE,"Rate a fortress zone ""recovers"" for each defending player",0.25
FORTRESS_HELD_SCORE,Score you get for holding your fortress.,0
FORTRESS_MAX_PER_TEAM,UNDOCUMENTED,0
FORTRESS_SURVIVE_WIN,UNDOCUMENTED,1
FRAMEDROP_TOLERANCE,"Controls the amount of dropped frames tolerated for the sake of lower latency in Latency swap mode. 0 tolerates the most, 4 the least.",1
FRIEND_1,A friend,
FRIEND_10,A friend,
FRIEND_2,A friend,
FRIEND_3,A friend,
FRIEND_4,A friend,
FRIEND_5,A friend,
FRIEND_6,A friend,
FRIEND_7,A friend,
FRIEND_8,A friend,
FRIEND_9,A friend,
FULLSCREEN,Fullscreen or windowed mode?,1
FULLSCREEN_MESSAGE,"Prints a big message all over the screen, interrupting gameplay for a configurable timeout. Use with care.",
FULL_REDIRECT_PORT,full_redirect_port_help,4534
FULL_REDIRECT_SERVER,Server a player is redirected to when this server is full.,
GAMEOBJECT_MOVE_TIMEOUT,UNDOCUMENTED,100
GAME_TIMEOUT,Base timeout for game state synchronisation; gives approximately the maximum time between rounds.,10
GAME_TYPE,"Type of game played. 0 for freestyle, 1 for last team standing and 2 for humans vs. AIs.",1
GLANCE_FORWARD_TOOLTIP,glance_forward_tooltip_help,0 0 0 0 0
GLANCE_LEFT_TOOLTIP,glance_left_tooltip_help,3 3 3 3 3
GLANCE_RIGHT_TOOLTIP,glance_right_tooltip_help,3 3 3 3 3
GLOBAL_ID,"If set to 1, Global IDs (Armathentication) will be enabled on this server.",0
GL_EXTENSIONS,OpenGL system information,GL_AMDX_debug_output GL_AMDX_vertex_shader_tessellator GL_AMD_conservative_depth GL_AMD_debug_output GL_AMD_depth_clamp_separate GL_AMD_draw_buffers_blend GL_AMD_multi_draw_indirect GL_AMD_name_gen_delete GL_AMD_performance_monitor GL_AMD_sample_positions GL_AMD_seamless_cubemap_per_texture GL_AMD_shader_stencil_export GL_AMD_shader_trace GL_AMD_texture_cube_map_array GL_AMD_texture_texture4 GL_AMD_transform_feedback3_lines_triangles GL_AMD_vertex_shader_tessellator GL_ARB_ES2_compatibility GL_ARB_blend_func_extended GL_ARB_color_buffer_float GL_ARB_copy_buffer GL_ARB_depth_buffer_float GL_ARB_depth_clamp GL_ARB_depth_texture GL_ARB_draw_buffers GL_ARB_draw_buffers_blend GL_ARB_draw_elements_base_vertex GL_ARB_draw_indirect GL_ARB_draw_instanced GL_ARB_explicit_attrib_location GL_ARB_fragment_coord_conventions GL_ARB_fragment_program GL_ARB_fragment_program_shadow GL_ARB_fragment_shader GL_ARB_framebuffer_object GL_ARB_framebuffer_sRGB GL_ARB_geometry_shader4 GL_ARB_get_program_binary GL_ARB_gpu_shader5 GL_ARB_gpu_shader_fp64 GL_ARB_half_float_pixel GL_ARB_half_float_vertex GL_ARB_imaging GL_ARB_instanced_arrays GL_ARB_map_buffer_range GL_ARB_multisample GL_ARB_multitexture GL_ARB_occlusion_query GL_ARB_occlusion_query2 GL_ARB_pixel_buffer_object GL_ARB_point_parameters GL_ARB_point_sprite GL_ARB_provoking_vertex GL_ARB_sample_shading GL_ARB_sampler_objects GL_ARB_seamless_cube_map GL_ARB_separate_shader_objects GL_ARB_shader_bit_encoding GL_ARB_shader_objects GL_ARB_shader_precision GL_ARB_shader_stencil_export GL_ARB_shader_subroutine GL_ARB_shader_texture_lod GL_ARB_shading_language_100 GL_ARB_shadow GL_ARB_shadow_ambient GL_ARB_sync GL_ARB_tessellation_shader GL_ARB_texture_border_clamp GL_ARB_texture_buffer_object GL_ARB_texture_buffer_object_rgb32 GL_ARB_texture_compression GL_ARB_texture_compression_bptc GL_ARB_texture_compression_rgtc GL_ARB_texture_cube_map GL_ARB_texture_cube_map_array GL_ARB_texture_env_add GL_ARB_texture_env_combine GL_ARB_texture_env_crossbar GL_ARB_texture_env_dot3 GL_ARB_texture_float GL_ARB_texture_gather GL_ARB_texture_mirrored_repeat GL_ARB_texture_multisample GL_ARB_texture_non_power_of_two GL_ARB_texture_query_lod GL_ARB_texture_rectangle GL_ARB_texture_rg GL_ARB_texture_rgb10_a2ui GL_ARB_texture_snorm GL_ARB_timer_query GL_ARB_transform_feedback2 GL_ARB_transform_feedback3 GL_ARB_transpose_matrix GL_ARB_uniform_buffer_object GL_ARB_vertex_array_bgra GL_ARB_vertex_array_object GL_ARB_vertex_attrib_64bit GL_ARB_vertex_buffer_object GL_ARB_vertex_program GL_ARB_vertex_shader GL_ARB_vertex_type_2_10_10_10_rev GL_ARB_viewport_array GL_ARB_window_pos GL_ATI_draw_buffers GL_ATI_envmap_bumpmap GL_ATI_fragment_shader GL_ATI_meminfo GL_ATI_separate_stencil GL_ATI_texture_compression_3dc GL_ATI_texture_env_combine3 GL_ATI_texture_float GL_ATI_texture_mirror_once GL_EXT_abgr GL_EXT_bgra GL_EXT_bindable_uniform GL_EXT_blend_color GL_EXT_blend_equation_separate GL_EXT_blend_func_separate GL_EXT_blend_minmax GL_EXT_blend_subtract GL_EXT_compiled_vertex_array GL_EXT_copy_buffer GL_EXT_copy_texture GL_EXT_direct_state_access GL_EXT_draw_buffers2 GL_EXT_draw_instanced GL_EXT_draw_range_elements GL_EXT_fog_coord GL_EXT_framebuffer_blit GL_EXT_framebuffer_multisample GL_EXT_framebuffer_object GL_EXT_framebuffer_sRGB GL_EXT_geometry_shader4 GL_EXT_gpu_program_parameters GL_EXT_gpu_shader4 GL_EXT_histogram GL_EXT_multi_draw_arrays GL_EXT_packed_depth_stencil GL_EXT_packed_float GL_EXT_packed_pixels GL_EXT_pixel_buffer_object GL_EXT_point_parameters GL_EXT_provoking_vertex GL_EXT_rescale_normal GL_EXT_secondary_color GL_EXT_separate_specular_color GL_EXT_shader_image_load_store GL_EXT_shadow_funcs GL_EXT_stencil_wrap GL_EXT_subtexture GL_EXT_texgen_reflection GL_EXT_texture3D GL_EXT_texture_array GL_EXT_texture_buffer_object GL_EXT_texture_compression_bptc GL_EXT_texture_compression_latc GL_EXT_texture_compression_rgtc GL_EXT_texture_compression_s3tc GL_EXT_texture_cube_map GL_EXT_texture_edge_clamp GL_EXT_texture_env_add GL_EXT_texture_env_combine GL_EXT_texture_env_dot3 GL_EXT_texture_filter_anisotropic GL_EXT_texture_integer GL_EXT_texture_lod GL_EXT_texture_lod_bias GL_EXT_texture_mirror_clamp GL_EXT_texture_object GL_EXT_texture_rectangle GL_EXT_texture_sRGB GL_EXT_texture_shared_exponent GL_EXT_texture_snorm GL_EXT_texture_swizzle GL_EXT_timer_query GL_EXT_transform_feedback GL_EXT_vertex_array GL_EXT_vertex_array_bgra GL_EXT_vertex_attrib_64bit GL_IBM_texture_mirrored_repeat GL_KTX_buffer_region GL_NV_blend_square GL_NV_conditional_render GL_NV_copy_depth_to_color GL_NV_explicit_multisample GL_NV_float_buffer GL_NV_half_float GL_NV_primitive_restart GL_NV_texgen_reflection GL_NV_texture_barrier GL_SGIS_generate_mipmap GL_SGIS_texture_edge_clamp GL_SGIS_texture_lod GL_SUN_multi_draw_arrays GL_WIN_swap_hint WGL_EXT_swap_control
GL_RENDERER,OpenGL system information,AMD Radeon HD 6800 Series
GL_VENDOR,OpenGL system information,ATI Technologies Inc.
GL_VERSION,OpenGL system information,4.1.10750 Compatibility Profile Context
GRID_SIZE,Distance between gridlines,1
GRID_SIZE_MOVIEPACK,Distance between gridlines when moviepack is active,2
GUI_TRACK,gui_track_help,music/when.ogg
HASH_METHOD_BLACKLIST,List of hash authentication methods to disable support for.,bmd5
HELP_INTRODUCTORY_BLURB,Message that is displayed before the list of help topics if someone uses /help without arguments,
HELP_MESSAGE,Deprecated alias for HELP_INTRODUCTORY_BLURB,
HIGH_RIM,Draw high rim walls,1
HISTORY_SIZE_CHAT,Number of lines kept in the chat history.,10
HISTORY_SIZE_CONSOLE,Number of lines kept in the console history.,10
IDLE_KICK_TIME,Time in seconds after which an inactive player is kicked,0
IDLE_REMOVE_TIME,Time in seconds after which an inactive player is removed from the game,0
INCLUDE,Includes the following file,
INFINITY_PLANE,Use infinite points (Does not work properly on most Windows systems),0
INTERCEPT_COMMANDS,List of chat commands to accept and log to stdout.,
INTERCEPT_UNKNOWN_COMMANDS,"If 1, accept and log all unknown chat commands.",0
KEEP_PLAYER_SLOT,"If set to 1, every time the server gets full, an unworthy spectator is kicked.",0
KEEP_WINDOW_ACTIVE,Keeps rendering active when the program window loses input focus.,0
KEYBOARD,Keyboard settings,KEY_BACKSPACE PLAYER_BIND INSTANT_CHAT_25 1KEYBOARD KEY_TAB PLAYER_BIND SCORE 0 KEYBOARD KEY_RETURN PLAYER_BIND CHAT 1 KEYBOARD KEY_SPACE PLAYER_BIND CYCLE_BRAKE 2 KEYBOARD KEY_- PLAYER_BIND INSTANT_CHAT_23 1 KEYBOARD KEY_0 PLAYER_BIND INSTANT_CHAT_22 1 KEYBOARD KEY_1 PLAYER_BIND INSTANT_CHAT_13 1 KEYBOARD KEY_2 PLAYER_BIND INSTANT_CHAT_14 1 KEYBOARD KEY_3 PLAYER_BIND INSTANT_CHAT_15 1 KEYBOARD KEY_4 PLAYER_BIND INSTANT_CHAT_16 1 KEYBOARD KEY_5 PLAYER_BIND INSTANT_CHAT_17 1 KEYBOARD KEY_6 PLAYER_BIND INSTANT_CHAT_18 1 KEYBOARD KEY_7 PLAYER_BIND INSTANT_CHAT_19 1 KEYBOARD KEY_8 PLAYER_BIND INSTANT_CHAT_20 1 KEYBOARD KEY_9 PLAYER_BIND INSTANT_CHAT_21 1 KEYBOARD KEY_= PLAYER_BIND INSTANT_CHAT_24 1 KEYBOARD KEY_^ PLAYER_BIND CONSOLE_INPUT 0 KEYBOARD KEY_` PLAYER_BIND CONSOLE_INPUT 0 KEYBOARD KEY_B PLAYER_BIND TOGGLE_SPECTATOR 1 KEYBOARD KEY_C PLAYER_BIND SWITCH_VIEW 1 KEYBOARD KEY_D PLAYER_BIND CYCLE_BRAKE 2 KEYBOARD KEY_E PLAYER_BIND GLANCE_BACK 2 KEYBOARD KEY_F PLAYER_BIND CYCLE_TURN_RIGHT 2 KEYBOARD KEY_I PLAYER_BIND CYCLE_BRAKE 1 KEYBOARD KEY_J PLAYER_BIND GLANCE_LEFT 1 KEYBOARD KEY_K PLAYER_BIND GLANCE_BACK 1 KEYBOARD KEY_L PLAYER_BIND GLANCE_RIGHT 1 KEYBOARD KEY_N PLAYER_BIND TOGGLE_FULLSCREEN 0 KEYBOARD KEY_O PLAYER_BIND CYCLE_TURN_RIGHT 1 KEYBOARD KEY_Q PLAYER_BIND SWITCH_VIEW 2 KEYBOARD KEY_R PLAYER_BIND GLANCE_RIGHT 2 KEYBOARD KEY_S PLAYER_BIND CYCLE_TURN_LEFT 2 KEYBOARD KEY_T PLAYER_BIND INSTANT_CHAT_1 1 KEYBOARD KEY_U PLAYER_BIND CYCLE_TURN_LEFT 1 KEYBOARD KEY_V PLAYER_BIND SWITCH_VIEW 1 KEYBOARD KEY_W PLAYER_BIND GLANCE_LEFT 2 KEYBOARD KEY_X PLAYER_BIND CYCLE_TURN_LEFT 2 KEYBOARD KEY_Z PLAYER_BIND GLANCE_LEFT 2 KEYBOARD KEY_[0] PLAYER_BIND GLANCE_LEFT 1 KEYBOARD KEY_[1] PLAYER_BIND MOVE_LEFT 1 KEYBOARD KEY_[2] PLAYER_BIND MOVE_BACK 1 KEYBOARD KEY_[3] PLAYER_BIND MOVE_RIGHT 1 KEYBOARD KEY_[4] PLAYER_BIND LOOK_LEFT 1 KEYBOARD KEY_[5] PLAYER_BIND MOVE_FORWARD 1 KEYBOARD KEY_[6] PLAYER_BIND LOOK_RIGHT 1 KEYBOARD KEY_[.] PLAYER_BIND GLANCE_RIGHT 1 KEYBOARD KEY_[-] PLAYER_BIND MOVE_UP 1 KEYBOARD KEY_[+] PLAYER_BIND MOVE_DOWN 1 KEYBOARD KEY_ENTER PLAYER_BIND CHAT 1 KEYBOARD KEY_DOWN PLAYER_BIND CYCLE_BRAKE 1 KEYBOARD KEY_RIGHT PLAYER_BIND CYCLE_TURN_RIGHT 1 KEYBOARD KEY_LEFT PLAYER_BIND CYCLE_TURN_LEFT 1 KEYBOARD KEY_HOME PLAYER_BIND TOGGLE_SPECTATOR 1 KEYBOARD KEY_END PLAYER_BIND MESS_END 0 KEYBOARD KEY_PAGE_UP PLAYER_BIND MESS_UP 0 KEYBOARD KEY_PAGE_DOWN PLAYER_BIND MESS_DOWN 0 KEYBOARD KEY_F1 PLAYER_BIND INSTANT_CHAT_1 1 KEYBOARD KEY_F2 PLAYER_BIND INSTANT_CHAT_2 1 KEYBOARD KEY_F3 PLAYER_BIND INSTANT_CHAT_3 1 KEYBOARD KEY_F4 PLAYER_BIND INSTANT_CHAT_4 1 KEYBOARD KEY_F5 PLAYER_BIND INSTANT_CHAT_5 1 KEYBOARD KEY_F6 PLAYER_BIND INSTANT_CHAT_6 1 KEYBOARD KEY_F7 PLAYER_BIND INSTANT_CHAT_7 1 KEYBOARD KEY_F8 PLAYER_BIND INSTANT_CHAT_8 1 KEYBOARD KEY_F9 PLAYER_BIND INSTANT_CHAT_9 1 KEYBOARD KEY_F10 PLAYER_BIND INSTANT_CHAT_10 1 KEYBOARD KEY_F11 PLAYER_BIND INSTANT_CHAT_11 1 KEYBOARD KEY_F12 PLAYER_BIND INSTANT_CHAT_12 1 KEYBOARD KEY_F13 PLAYER_BIND SCREENSHOT 0 KEYBOARD KEY_PRINT_SCREEN PLAYER_BIND SCREENSHOT 0 KEYBOARD KEY_MENU PLAYER_BIND TOGGLE_FULLSCREEN 0 KEYBOARD MOUSE_X_PLUS PLAYER_BIND LOOK_RIGHT 1 KEYBOARD MOUSE_X_MINUS PLAYER_BIND LOOK_LEFT 1 KEYBOARD MOUSE_Y_PLUS PLAYER_BIND BANK_UP 1 KEYBOARD MOUSE_Y_MINUS PLAYER_BIND BANK_DOWN 1 KEYBOARD MOUSE_BUTTON_3 PLAYER_BIND ZOOM_IN 1
KICK,Kicks the specified player from the server.,
KICK_TO,"Kicks the specified player from the server and, if the client supports it, redirects him to a different server.",
KILL,Kill a specific player (as warning before a kick),
LADDERLOG_DECORATE_TIMESTAMP,Decorates every line of ladderlog output with the current date and time,0
LADDERLOG_GAME_TIME_INTERVAL,"If nonnegative, write a line with the current game time to the ladder log every n seconds.",-1
LADDERLOG_WRITE_ALL,Set all the LADDER_LOG_WRITE_* settings to the same value,
LADDERLOG_WRITE_AUTHORITY_BLURB,Write to ladderlog: AUTHORITY_BLURB <name> <value>,1
LADDERLOG_WRITE_BASEZONE_CONQUERED,Write to ladderlog: BASEZONE_CONQUERED <team> <cx> <cy>,1
LADDERLOG_WRITE_BASEZONE_CONQUERER,Write to ladderlog: BASEZONE_CONQUERER <player>,1
LADDERLOG_WRITE_CHAT,Write to ladderlog: CHAT <chatter> [/me] <chat string>,0
